Sales Dashboard
Last updated,February 08 2026 7:24:22 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
3980,4130,"$81,980.89",1.04,20.6
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$1,742.05",89.0,"$1,136.77",60.0
2026-01-05T00:00:00,"$1,829.80",93.0,"$1,697.60",105.0
2026-01-06T00:00:00,"$1,815.10",88.0,"$1,667.49",106.0
2026-01-07T00:00:00,"$2,145.13",105.0,"$1,648.87",88.0
2026-01-08T00:00:00,"$2,285.33",127.0,"$1,857.06",92.0
2026-01-09T00:00:00,"$2,692.54",145.0,"$1,173.56",59.0
2026-01-10T00:00:00,"$2,675.76",132.0,"$1,250.75",67.0
2026-01-11T00:00:00,"$3,009.82",143.0,"$1,628.61",80.0
2026-01-12T00:00:00,"$2,002.01",99.0,"$1,978.31",98.0
2026-01-13T00:00:00,"$2,674.32",129.0,"$1,707.69",78.0
2026-01-14T00:00:00,"$2,289.73",117.0,"$1,592.14",76.0
2026-01-15T00:00:00,"$2,502.22",127.0,"$1,710.88",80.0
2026-01-16T00:00:00,"$2,389.53",132.0,"$1,721.77",85.0
2026-01-17T00:00:00,"$2,114.14",109.0,"$1,279.82",69.0
2026-01-18T00:00:00,"$1,955.57",103.0,"$1,573.87",78.0
2026-01-19T00:00:00,"$2,187.53",106.0,"$1,551.52",84.0
2026-01-20T00:00:00,"$2,390.57",111.0,"$1,274.83",66.0
2026-01-21T00:00:00,"$2,425.89",105.0,"$860.49",45.0
2026-01-22T00:00:00,"$1,715.00",101.0,"$1,422.73",76.0
2026-01-23T00:00:00,"$1,493.15",72.0,"$1,071.00",65.0
2026-01-24T00:00:00,"$2,137.52",93.0,"$1,819.27",94.0
2026-01-25T00:00:00,"$1,353.55",84.0,"$1,200.46",64.0
2026-01-26T00:00:00,"$2,565.41",99.0,"$1,503.19",78.0
2026-01-27T00:00:00,"$1,927.00",101.0,"$1,543.92",76.0
2026-01-28T00:00:00,"$2,092.13",110.0,"$1,470.23",60.0
2026-01-29T00:00:00,"$2,967.84",142.0,"$1,468.64",72.0
2026-01-30T00:00:00,"$2,431.53",129.0,"$1,385.10",76.0
2026-01-31T00:00:00,"$2,614.22",135.0,"$2,059.13",92.0
2026-02-01T00:00:00,"$2,070.65",106.0,"$1,805.42",99.0
2026-02-02T00:00:00,"$2,345.69",130.0,"$1,798.40",91.0
2026-02-03T00:00:00,"$2,518.17",118.0,"$1,355.93",71.0
2026-02-04T00:00:00,"$2,905.30",141.0,"$1,448.10",74.0
2026-02-05T00:00:00,"$3,027.63",151.0,"$2,066.79",103.0
2026-02-06T00:00:00,"$2,680.35",143.0,"$1,765.86",84.0
2026-02-07T00:00:00,"$2,450.67",128.0,"$1,573.66",84.0
2026-02-08T00:00:00,"$1,558.04",87.0,"$1,593.05",88.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,3980,4130,"$81,980.89",1.04,20.6
Same date range one year ago,2743,2846,"$55,422.65",1.04,20.21
% change from same date range one year ago,45%,45%,47.92%,0.0%,1.9297442%
Selected date range through 2/8/26 7PM PST,3980,4130,"$81,980.89",1.04,20.6
Same date range one year ago through 2/8/25 7PM PST,2743,2846,"$55,422.65",1.04,20.21
